id,label,label:confidence,word1,word2
1143385366,unrelated,0.8576,solely,best
1143385367,unrelated,0.6541,loose,inconvenient
1143385368,unrelated,0.7488,less,static
1143385369,unrelated,0.8488,speculative,right
1143385370,unrelated,1,painful,near
1143385371,unrelated,1,one-time,later
1143385372,unrelated,0.8111,ulterior,ago
1143385373,unrelated,1,cold,easily
1143385374,other,0.5558,applicable,vacancy
1143385375,antonym,1,harmful,healthy
1143385376,unrelated,0.7358,generally,long
1143385377,unrelated,1,hanker,shortly
1143385378,unrelated,0.6985,problematic,available
1143385379,other,0.593,flora,fauna
1143385380,unrelated,0.5565,find,indeterminate
1143385381,other,0.5914,hard-pressed,ripe
1143385382,unrelated,1,sole,certainly
1143385383,other,0.637,everybody,totally
1143385384,antonym,1,irreplaceable,replaceable
1143385385,unrelated,1,total,go
1143385386,unrelated,1,manage,today
1143385387,unrelated,1,safe,item
1143385388,unrelated,0.6559,skilful,unfortunate
1143385389,unrelated,1,powerful,somewhat
1143385390,unrelated,1,bad,occupy
1143385391,unrelated,0.8278,rude,loose
1143385392,unrelated,0.7336,spiteful,skilful
1143385393,unrelated,0.8243,keister,allow
1143385394,unrelated,1,sparse,foresighted
1143385395,unrelated,0.4006,barely,available
1143385396,antonym,0.7506,useful,fruitless
1143385397,unrelated,1,sick,compensate
1143385398,unrelated,0.7162,l,equal
1143385399,unrelated,0.4193,gentle,complex
1143385400,antonym,0.7256,excessively,thinly
1143385401,unrelated,0.6846,evenhandedly,bad
1143385402,unrelated,0.7599,hardworking,loose
1143385403,unrelated,1,comfortably,down
1143385404,unrelated,1,scummy,as
1143385405,antonym,0.3511,decent,indefensible
1143385406,unrelated,0.5088,shameful,right
1143385407,unrelated,0.6566,tight,well-to-do
1143385408,antonym,0.4034,well,ill-timed
1143385409,unrelated,0.7032,incorrect,decently
1143385410,antonym,0.5807,permissible,intolerable
1143385411,other,0.4151,easygoing,easily
1143385412,unrelated,1,adequately,strong
1143385413,other,0.853,decently,fair
1143385414,unrelated,0.6857,scarce,fountainhead
1143385415,unrelated,0.7488,disconcert,good
1143385416,unrelated,1,there,back
1143385417,unrelated,1,allow,rude
1143385418,antonym,0.7933,finale,start
1143385419,unrelated,0.6478,efficient,unable
1143385420,antonym,0.649,nonpartisanship,partiality
1143385421,antonym,0.7847,unsuitable,ideal
1143385422,unrelated,0.6589,symbolise,representation
1143385423,antonym,1,bad,favourable
1143385424,antonym,0.7625,wildness,tameness
1143385425,unrelated,0.5017,extricate,entangle
1143385426,other,0.494,unmanageable,hard
1143385427,unrelated,1,considerably,gonna
1143385428,unrelated,1,unvoiced,tough
1143385429,unrelated,1,scarce,huh
1143385430,antonym,0.8724,differ,same
1143385431,unrelated,1,no,decease
1143385432,unrelated,0.5779,sufficiency,underemployment
1143385433,unrelated,0.5784,respectable,hurtful
1143385434,antonym,1,correctly,mistaken
1143385435,other,0.4865,justly,alright
1143385436,unrelated,0.506,obtuseness,brightness
1143385437,unrelated,1,dire,promiscuous
1143385438,unrelated,1,bod,ground
1143385439,unrelated,0.7847,l,ingest
1143385440,unrelated,0.6659,well,thin
1143385441,unrelated,0.5028,unclear,experience
1143385442,unrelated,1,lonesome,fail
1143385443,unrelated,1,straightaway,over
1143385444,antonym,0.7506,counterfeit,honest
1143385445,unrelated,1,refrain,matchless
1143385446,unrelated,1,relevant,debate
1143385447,unrelated,1,discourtesy,defence
1143385448,unrelated,1,merely,want
1143385449,category,0.3011,unspoiled,nice
1143385450,unrelated,0.8111,hunt,hither
1143385451,unrelated,0.6949,qualify,uncertain
1143385452,unrelated,1,designate,even
1143385453,unrelated,0.8733,estimable,hurt
1143385454,other,1,accurate,right
1143385455,antonym,0.4949,unusual,pattern
1143385456,antonym,0.6646,pervert,conform
1143385457,antonym,1,disingenuous,TRUE
1143385458,unrelated,0.8445,overpriced,brassy
1143385459,unrelated,0.8492,nonetheless,yes
1143385460,unrelated,1,compatible,patronize
