_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,label,label:confidence,label_gold,word1,word2
1143385366,FALSE,finalized,7,1/29/17 6:05,unrelated,0.8533,,solely,best
1143385367,FALSE,finalized,3,1/29/17 6:34,unrelated,0.647,,loose,inconvenient
1143385368,FALSE,finalized,4,1/29/17 5:59,unrelated,0.7337,,less,static
1143385369,FALSE,finalized,4,1/29/17 5:54,unrelated,0.7653,,speculative,right
1143385370,FALSE,finalized,8,1/29/17 6:08,unrelated,1,,painful,near
1143385371,FALSE,finalized,4,1/29/17 5:52,unrelated,1,,one-time,later
1143385372,FALSE,finalized,6,1/29/17 6:02,unrelated,0.8224,,ulterior,ago
1143385373,FALSE,finalized,4,1/29/17 6:01,unrelated,1,,cold,easily
1143385374,FALSE,finalized,8,1/29/17 6:00,unrelated,0.5043,,applicable,vacancy
1143385375,FALSE,finalized,6,1/29/17 6:06,antonym,1,,harmful,healthy
1143385376,FALSE,finalized,3,1/29/17 6:03,unrelated,0.6445,,generally,long
1143385377,FALSE,finalized,3,1/29/17 5:53,unrelated,1,,hanker,shortly
1143385378,FALSE,finalized,7,1/29/17 5:58,unrelated,0.7053,,problematic,available
1143385379,FALSE,finalized,5,1/29/17 5:54,category,0.6166,,flora,fauna
1143385380,FALSE,finalized,7,1/29/17 6:05,antonym,0.5493,,find,indeterminate
1143385381,FALSE,finalized,4,1/29/17 5:54,other,0.51,,hard-pressed,ripe
1143385382,FALSE,finalized,6,1/29/17 5:56,unrelated,1,,sole,certainly
1143385383,FALSE,finalized,3,1/29/17 6:41,other,0.6518,,everybody,totally
1143385384,FALSE,finalized,5,1/29/17 6:01,antonym,1,,irreplaceable,replaceable
1143385385,FALSE,finalized,5,1/29/17 5:55,unrelated,1,,total,go
1143385386,FALSE,finalized,3,1/29/17 6:34,unrelated,1,,manage,today
1143385387,FALSE,finalized,3,1/29/17 6:14,unrelated,1,,safe,item
1143385388,FALSE,finalized,3,1/29/17 5:56,unrelated,0.6677,,skilful,unfortunate
1143385389,FALSE,finalized,3,1/29/17 6:38,unrelated,1,,powerful,somewhat
1143385390,FALSE,finalized,4,1/29/17 5:36,unrelated,1,,bad,occupy
1143385391,FALSE,finalized,6,1/29/17 6:03,unrelated,0.823,,rude,loose
1143385392,FALSE,finalized,7,1/29/17 5:58,unrelated,0.7195,,spiteful,skilful
1143385393,FALSE,finalized,4,1/29/17 5:54,unrelated,0.7653,,keister,allow
1143385394,FALSE,finalized,4,1/29/17 5:52,unrelated,1,,sparse,foresighted
1143385395,FALSE,finalized,4,1/29/17 5:54,other,0.2753,,barely,available
