aright	outrageous
lonesome	till
omit	available
unaccepted	eligible
secure	nasty
all-inclusive	inconsiderable
unseal	seal
nil	unity
gaudy	difficult
soft	uncomfortable
formal	inform
fairly	right
hardly	evening
merely	isolated
irrelevant	discipline
genuine	inaccurate
be	article
inadequately	substantially
common	uncommon
farsighted	anymore
naughty	estimable
unrivalled	zero
ice	feel
counterfeit	flop
surprise	normal
easy	changeable
stuffiness	openness
hotfoot	linger
rotten	mightily
unreasonable	wise
sidereal	civil
impetuous	feasible
huh	simply
anymore	sole
specially	interested
fancy	small children
reasonable	absurd
gruelling	light
spiteful	adept
necessary	inefficient
compensate	unacceptable
unwarranted	well-founded
dark-green	ripe
seldom	foresighted
rimless	rim
logically	surprisingly
skilful	unhealthy
polite	sassy
definitely	merely
sole	inter
