hood	hard
away	inside
possible	inadmissible
futile	essential
goon	hard
wastefulness	conserve
energetic	lethargic
come	rise
hope	despair
mine	unmin
hardly	considerably
unfair	evenhandedly
difficult	simple
native	nonnative
unhappy	secure
til	period ending
portion	long
sufficiency	scarcity
spicy	true
false	redress
unfortunate	reserve
aright	incorrect
exile	repatriate
disapprovingly	approvingly
easygoing	bad
availability	unavailability
less	evenly
considerably	slightly
unnatural	properly
sure	sole
better	lonesome
low	practically
sleeveless	sleeved
impracticable	virtual
admittedly	hardly
later	gold
slight	excessively
attractive	repulsive
no	evening
cher	gimcrack
practicable	terrified
compression	decompression
right	distress
persuasive	dissuasive
dramatise	reduce
appropriate	unsound
impossible	light
ane	hing
aright	horrible
nonesuch	satisfactory
