in	merely
negativity	positiveness
practical	practicable
dependable	inappropriate
unkind	slump
inexact	discipline
heavy	obvious
fake	good
painful	powerful
predictable	unpredictable
less	unruffled
merely	alike
severe	tough
right	steep
unlock	lock
behave	anymore
correct	unclear
nauseous	well
problematical	possible
tricky	knockout
easily	severely
good	gamy
certain	confused
adequately	broadly
ineffective	operational
rough	skilful
nocturnal	diurnal
designate	unspecified
name	maintain
uniform	multiform
infrequently	unremarkably
wellspring	correctly
beneficial	weak
constant	exchange
seed	no
large	undistinguished
prior	posterior
expensively	cheaply
submission	noncompliance
good	puckish
adequately	wrongfully
contrary	obverse
scarce	uncommitted
rude	polite
no	make
last	menses
defective	cute
true	decently
unconscionable	properly
unreal	redress
