word1,word2,label
in,merely,unrelated
negativity,positiveness,categorical
practical,practicable,categorical
dependable,inappropriate,unrelated
unkind,slump,unrelated
inexact,discipline,unrelated
heavy,obvious,unrelated
fake,good,unrelated
painful,powerful,categorical
predictable,unpredictable,antonym
less,unruffled,unrelated
merely,alike,unrelated
severe,tough,categorical
right,steep,categorical
unlock,lock,antonym
behave,anymore,unrelated
correct,unclear,categorical
nauseous,well,categorical
problematical,possible,categorical
tricky,knockout,unrelated
easily,severely,unrelated
good,gamy,unrelated
certain,confused,categorical
adequately,broadly,categorical
ineffective,operational,antonym
rough,skilful,unrelated
nocturnal,diurnal,antonym
designate,unspecified,categorical
name,maintain,unrelated
uniform,multiform,antonym
infrequently,unremarkably,unrelated
wellspring,correctly,unrelated
beneficial,weak,unrelated
constant,exchange,categorical
seed,no,unrelated
large,undistinguished,unrelated
prior,posterior,antonym
expensively,cheaply,antonym
submission,noncompliance,categorical
good,puckish,categorical
adequately,wrongfully,unrelated
contrary,obverse,synonym
scarce,uncommitted,unrelated
rude,polite,antonym
no,make,unrelated
last,menses,unrelated
defective,cute,unrelated
TRUE,decently,unrelated
unconscionable,properly,categorical
unreal,redress,categorical
