influence	off
immobility	looseness
assign	unknown
unhappy	fulfil
incomplete	discharge
acceptable	intolerable
indecipherable	safe
hindrance	noninterference
dispatch	less
son	excessively
well	pathetic
inhumane	desirable
formation	valuable information
sole	firstly
promiscuous	hardworking
good	okey
clear	illegible
surprisingly	clearly
imperfect	thoroughgoing
deprecate	appreciate
unimaginable	feasible
outrageous	mighty
veridical	surreal
dependable	hazardous
wellspring	minimally
painful	redress
discipline	erroneous
more	fancy
blue	well
huh	single
adenine	com
bad	rubber
cheap	grueling
hard-pressed	honest
evilness	bad
insufferable	unacceptable
immaterial	useable
substantially	weakly
grueling	easily
sufficient	curt
unlikely	potential
mighty	fraudulent
obnoxious	eligible
failing	strength
hanker	marginally
rectify	fake
incorrect	honorable
crazy	rightful
impossible	normal
sound	lousy
