mouse	cat	antonym
bad	possible	unrelated
specific	none	antonym
off-key	right	unrelated
waste	keep	antonym
cheap	heavy	unrelated
irrelevant	substantial	antonym
minimal	advantageously	unrelated
printable	unprintable	antonym
necessity	futile	antonym
boyfriend	girlfriend	antonym
terrible	effective	antonym
large	minimum	unrelated
depression	happiness	antonym
record	play	antonym
river	land	antonym
draftee	volunteer	unrelated
boundlessly	measurably	antonym
unattainable	unimaginable	unrelated
mistake	perfect	antonym
inequitable	funfair	unrelated
men	lady	antonym
impartial	partial	antonym
point	salutary	unrelated
unawares	available	unrelated
irritate	please	antonym
early	later	antonym
separation	join	antonym
make	unmake	antonym
mind	heart	antonym
unreal	admittedly	unrelated
feasible	impractical	antonym
injurious	right	unrelated
impertinent	polite	antonym
metal	rock	antonym
hard	convenient	unrelated
speculative	badly	unrelated
flash	overpriced	unrelated
furthermore	merely	unrelated
hold	right	unrelated
hear	see	antonym
gay	timid	unrelated
attention	thrifty	unrelated
appropriate	moot	antonym
ill	substantially	unrelated
potential	unable	unrelated
law	entitle	unrelated
peerless	klein	unrelated
scarcely	aside	unrelated
line	point	antonym
helpful	utile	paraphrase
inter	equitable	unrelated
well-defined	inconclusive	antonym
sky	ocean	antonym
lazy	act	antonym
unceasing	inconstant	antonym
longer	well	unrelated
fragmentary	arrant	unrelated
properly	counterfeit	antonym
loose	tie	antonym
inconsiderable	widely	unrelated
normal	compensate	unrelated
original	reproduction	antonym
defeat	win	antonym
attention	deliberate	unrelated
defeat	victory	antonym
doctor	patient	antonym
there	back	unrelated
intimately	inefficiently	unrelated
pat	eventide	unrelated
dance	sing	antonym
land	sky	antonym
sufficient	undistinguished	unrelated
share	include	unrelated
pictorial	alive	antonym
sufficiency	low	unrelated
undercut	uncut	antonym
easily	longer	unrelated
fancy	cheap	antonym
decent	horrible	antonym
slim	slow	unrelated
precise	wrong	antonym
dazed	smart	unrelated
alien	know	unrelated
erstwhile	anymore	other
well	still	unrelated
edit	uncut	antonym
shade	unshaded	antonym
straight	wrong	unrelated
uncollectible	well	unrelated
crazy	comic	unrelated
can	provide	unrelated
justly	wrong	unrelated
false	real	antonym
lone	partly	unrelated
practicable	misfortunate	unrelated
ill	ghastly	paraphrase
maximisation	minimization	antonym
cold	hot	antonym
less	pregnant	unrelated
lady	man	antonym
ordinary	rare	antonym
glass	wood	antonym
erroneous	reliable	antonym
passively	actively	antonym
book	magazine	antonym
charge	credit	antonym
gaga	funny	other
strong	weak	antonym
game	real	antonym
apart	simply	unrelated
unreal	right	unrelated
summary	loose	unrelated
undesirable	worthy	antonym
fine	honest	unrelated
useful	fruitless	antonym
touch	unique	unrelated
off	arrange	unrelated
full	undesirable	unrelated
litre	have	unrelated
sleep	awake	antonym
even	evenly	paraphrase
multi-valued	bivalent	antonym
nonradioactive	radioactive	antonym
pass	take	antonym
easy	fearful	unrelated
moo	good	unrelated
easily	yobo	unrelated
nope	directly	unrelated
fight	play	antonym
crucial	unimportant	antonym
wood	rock	antonym
unnaturally	naturally	antonym
insane	unspoilt	unrelated
irrelevant	receivable	unrelated
impossible	unfeasible	other
lightly	selfsame	unrelated
waste	useful	antonym
