word1,word2
contralateral,ipsilateral
bask,suffer
crucial,unimportant
costly,punk
winner,failure
cite,hold
advantageous,disadvantageous
shag,unscrew
amazingly,arguably
seaward,offshore
gruelling,smooth
comfortably,low
unhealthy,near
straighten,bend
out-of-doors,close
farsighted,rare
sure,lotion
abuse,mightily
skin,show
wrong,unfeigned
lawful,bogus
upset,commodity
fraternal,identical
obtainable,executable
awfully,right
sorry,okay
available,scarce
sympathetic,unkindly
right,ill-conceived
unassertive,assertive
continuously,even
near,scary
normal,dotty
more,success
polite,impertinent
further,heretofore
correct,poor
significant,tike
chant,toneless
goon,obvious
actually,eve
appropriate,ghastly
disgraceful,justly
miserable,commodity
activate,inactivate
put,power supply
laborious,user-friendly
no,TRUE
seriousness,insincerity
useless,necessary
disorganize,organise
carry,ter
boundlessly,measurably
good,unseasonable
so,moderately
incapacitate,admissible
punk,yearn
practically,damn
potential,hard
bad,loose
permit,shall
tuneful,tuneless
settlement,preparation
naked,polite
project,more
early,later
harmless,sober
uncertain,gentle
even,stage
accessible,unavailable
intemperate,pleasant
void,fullness
reliable,correct
mistaken,ripe
awry,advantageously
seldom,overly
name,have
completely,virtually
short,complete
user-friendly,gruelling
easy,ill
substantially,wrong
unamended,amend
unfit,adequately
sufficient,dead
strange,recognise
suitable,inapplicable
specialise,unknown
entirely,still
still,currently
good,over-the-top
mightily,unclear
set,deficient
apply,unspent
insignificant,important
average,evil
finishing,start
inadmissible,decent
indication,contraindication
estimable,amiss
prior,late
rectify,inequitable
sufficiency,insignificant
lone,less
severely,user-friendly
admittedly,equitable
needle,appropriate
realise,loss
disaccord,agree
undue,sane
weak,acceptable
renovate,break
respectable,no
hard,substantially
erroneously,good
bit,sole
anybody,one
correct,fictive
fair,so
insufferable,desirable
terrible,soft
easygoing,harsh
unlawful,legalize
reckless,prophylactic
certainly,unlikely
bazaar,bad
correct,faux
continuously,regular
TRUE,deceitful
unwell,seize
reliable,brilliant
ampere,com
lightly,considerably
lame,unspoiled
subsequently,former
admittedly,precisely
crazy,risible
substantially,less
thoroughly,hard
terrible,mighty
binding,there
intelligibly,surprisingly
wellspring,sick
equal,reprint
right,counter-productive
complaint,good
bullshit,slump
justly,handsome
justly,sinful
badly,mighty
require,easy
reasonable,excessive
wrong,chasten
long,card
decline,accurate
non,well
satisfactory,inadmissible
well,asshole
workable,ridiculous
right,poorly
impossible,low
weak,retentive
off,rigid
rugged,tardily
no,produce
available,unapproachable
understandably,astonishingly
unrealistically,realistically
elderly,young
less,follow
TRUE,delicately
sanity,insanity
available,shortly
jaydee,turd
retentive,card
unconscionable,satisfactory
correct,redress
good,painful
scarcely,likewise
discipline,unkind
nominal,important
now,possibly
hard,convenient
dreadful,good
cold,wanton
possible,impulsive
horrible,beneficial
extraordinary,formula
amiss,effective
good,franklin
manageable,possible
windy,feasible
well,prick
self-governing,dependent
good,overturn
good,few
unusual,justly
considerably,bit
kinship,consanguinity
grant,stand
disorder,order
nonconformity,conformism
interpret,more
d,have
raven,postdate
limited,more
atrocious,easy
make,off
ascertain,unclear
steep,reasonable
unconstitutional,constitutional
as,little
viable,untenable
approve,gonna
quiet,hard
unwell,unspoiled
decent,sufficient
crease,increased dramatically
eligible,obnoxious
undesirable,conquer
name,prevail
available,windy
guess,shall
amazingly,organically
whole,l
fifty-fifty,hardly
bullshit,right
pregnant,important
clean,sore
appropriate,supernumerary
touch,separate
self-evidently,astonishingly
efferent,afferent
spiteful,commodity
away,working
unpopular,popular
beneficial,mad
unwilling,willing
estimable,huh
scant,dark
properly,unhealthy
actually,equitable
no,hitherto
shortly,solely
sleeveless,necessary
restrain,permissible
inescapable,possible
shaver,long
as,poorly
unthinkable,aright
tameness,wildness
cockamamie,jaydee
topsy-turvy,orderly
unsuccessful,correct
levy,lower
discontent,contentment
considerably,slight
sanely,unreasonably
unbelievable,large
long,sentence
livelihood,alive
farsighted,sparsely
heavy,easy
easily,comfortably
TRUE,exact
comfortably,little
mighty,abuse
goodness,sinful
